ID;ANNEE_N;BILAN;CODACTIVBCT;ETAT;RB_31_12_N;CTX_31_12_N;CTX_N1;CLS_31_12_N;CONSOLID_31_12_N;CONSOLID_N1;MAX_CLS_N1;ANC_IMP_31_12_N;MAX_ANC_IMP_N1;SECTEUR_NOTATION;CLS_31_12_N1
10;2012;0;;E;;0;0;;0;0;3;;;COMMERCE;3
10;2013;0;91330;DC;111;0;0;3;0;0;4;;;COMMERCE;4
10;2014;0;;E;;0;0;;0;0;;;;SERVICES;
10;2015;0;;E;;0;0;;0;0;;;;SERVICES;
10;2016;0;;E;;0;0;;0;0;;;;INDUSTRIE;
11;2004;0;;E;;0;0;;0;0;;;;COMMERCE;
11;2005;0;;E;;0;0;;0;0;;;;COMMERCE;
11;2007;0;;E;;0;0;;0;0;;;;COMMERCE;
11;2008;0;;E;;0;0;;0;0;;;;COMMERCE;
11;2009;0;;E;;0;0;;0;0;0;;;COMMERCE;0
11;2010;0;51190;SC;195416;0;0;0;0;0;0;;;COMMERCE;0
11;2011;0;51190;SC;171536;0;0;0;0;0;0;;;COMMERCE;0
11;2012;0;51190;SC;143788;0;0;0;0;0;0;;;COMMERCE;0
11;2013;0;51190;SC;116168;0;0;0;0;0;0;;;COMMERCE;0
11;2014;0;51190;SX;86576;0;0;0;0;0;;;;COMMERCE;
11;2015;0;;E;;0;0;;0;0;;;;COMMERCE;
11;2016;0;;E;;0;0;;0;0;;;;INDUSTRIE;
12;2004;0;;E;;0;0;;0;0;;;;INDUSTRIE;
12;2005;0;;E;;0;0;;0;0;;;;INDUSTRIE;
12;2006;0;;E;;0;0;;0;0;;;;INDUSTRIE;
12;2007;0;;E;;0;0;;0;0;;;;INDUSTRIE;
12;2008;0;;E;;0;0;;0;0;;;;INDUSTRIE;
12;2009;0;;E;;0;0;;0;0;;;;INDUSTRIE;
12;2010;0;;E;;0;0;;0;0;2;;;INDUSTRIE;2
12;2013;0;;E;;0;0;;0;0;;;;INDUSTRIE;
12;2014;0;;E;;0;0;;0;0;;;;INDUSTRIE;
12;2015;0;;E;;0;0;;0;0;;;;INDUSTRIE;
12;2016;0;;E;;0;0;;0;0;;;;COMMERCE;
13;2004;1;;E;;0;0;;0;0;0;;;SERVICES;0
13;2005;0;15820;SC;458333;0;0;0;0;0;1;;32;SERVICES;1
13;2006;0;15820;SC;429348;0;0;0;0;0;0;;;SERVICES;0
13;2007;0;15820;SC;411250;0;0;0;0;0;0;;;SERVICES;0
13;2009;0;15820;SC;72247;0;0;0;0;0;0;;;COMMERCE;0
13;2010;0;15820;SC;47554;0;0;0;0;0;0;;;COMMERCE;0
13;2011;0;15820;SD;21068;0;0;0;0;0;0;;;COMMERCE;0
13;2012;0;;E;;0;0;;0;0;;;;COMMERCE;
13;2013;0;;E;;0;0;;0;0;;;;COMMERCE;
13;2014;0;;E;;0;0;;0;0;;;;COMMERCE;
13;2015;0;;E;;0;0;;0;0;;;;COMMERCE;
13;2016;0;;E;;0;0;;0;0;;;;COMMERCE;
14;2004;0;51140;SC;319715;0;0;0;0;0;1;;12;COMMERCE;1
14;2005;0;51140;SC;217303;0;0;0;0;0;0;;32;SERVICES;0
14;2007;1;51140;SC;182300;0;0;0;0;0;1;;17;SERVICES;1
14;2008;1;51140;SC;254821;0;0;0;0;0;0;;;SERVICES;0
14;2009;1;51140;SC;152157;0;0;0;0;0;0;;;SERVICES;0
14;2010;1;51140;SC;223389;0;0;0;0;0;0;;;SERVICES;0
14;2011;1;51140;SC;231973;0;0;0;0;0;0;;1;COMMERCE;0
14;2013;1;51140;SC;301675;0;0;0;0;0;1;;10;COMMERCE;1
14;2016;0;51140;SD;486941;0;0;0;0;0;0;;2;COMMERCE;0
15;2005;0;52410;SD;563;0;0;0;0;0;0;;;COMMERCE;0
15;2006;0;;E;;0;0;;0;0;;;;COMMERCE;
15;2008;0;;E;;0;0;;0;0;0;;;COMMERCE;0
15;2009;0;52410;SC;5976;0;0;0;0;0;0;;;COMMERCE;0
15;2010;0;52410;SC;3984;0;0;0;0;0;0;;;COMMERCE;0
15;2011;0;52410;SD;1992;0;0;0;0;0;0;;;COMMERCE;0
15;2012;0;;E;;0;0;;0;0;;;;COMMERCE;
15;2013;0;;E;;0;0;;0;0;0;;;COMMERCE;0
15;2014;0;;E;;0;0;;0;0;;;;COMMERCE;
15;2015;0;;E;;0;0;;0;0;;;;COMMERCE;
15;2016;0;;E;;0;0;;0;0;;;;INDUSTRIE;
16;2004;0;;E;;0;0;;0;0;;;;INDUSTRIE;
16;2005;0;;E;;0;0;;0;0;;;;INDUSTRIE;
16;2006;0;;E;;0;0;;0;0;;;;INDUSTRIE;
16;2007;0;;E;;0;0;;0;0;;;;INDUSTRIE;
16;2008;0;;E;;0;0;;0;0;;;;INDUSTRIE;
16;2010;0;;E;;0;1;;0;0;4;;;INDUSTRIE;4
16;2011;0;52120;DCTX;26;1;1;4;0;0;4;;;INDUSTRIE;4
16;2013;0;52120;DCTX;26;1;1;4;0;0;4;;;INDUSTRIE;4
16;2014;0;52120;DCTX;26;1;1;4;0;0;4;;;INDUSTRIE;4
16;2015;0;;E;;0;0;;0;0;;;;INDUSTRIE;
16;2016;0;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2004;0;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2005;0;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2006;1;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2007;1;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2008;0;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2009;0;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2010;0;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2011;0;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2012;0;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2014;0;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2015;0;;E;;0;0;;0;0;;;;INDUSTRIE;
17;2016;0;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2004;0;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2005;0;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2006;0;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2007;0;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2008;0;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2009;1;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2010;1;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2011;1;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2012;0;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2014;0;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2015;0;;E;;0;0;;0;0;;;;INDUSTRIE;
18;2016;0;;E;;0;0;;0;0;;;;INDUSTRIE;
19;2004;0;;E;;0;0;;0;0;;;;INDUSTRIE;
19;2005;0;;E;;0;0;;0;0;;;;INDUSTRIE;
19;2006;0;;E;;0;0;;0;0;;;;INDUSTRIE;
19;2007;0;;E;;0;0;;0;0;;;;INDUSTRIE;
19;2008;0;;E;;0;0;;0;0;;;;INDUSTRIE;
19;2009;0;;E;;0;0;;0;0;;;;INDUSTRIE;
19;2010;0;;E;;0;0;;0;0;;;;INDUSTRIE;
19;2011;0;;E;;0;0;;0;0;0;;;INDUSTRIE;0
19;2012;0;93050;SD;47;0;0;0;0;0;1;;6;INDUSTRIE;1
19;2013;0;93050;SC;18277;0;0;0;0;0;0;;7;INDUSTRIE;0
19;2015;0;93050;SC;13855;0;0;0;0;0;0;;6;INDUSTRIE;0
19;2016;0;93050;SD;11418;0;0;0;0;0;0;;;INDUSTRIE;0
20;2004;0;74400;SC;89587;0;0;1;0;0;4;17;1239;INDUSTRIE;4
20;2006;0;74400;SC;3122;0;0;0;0;0;0;;;INDUSTRIE;0
20;2007;0;74400;SD;1036;0;0;0;0;0;0;;;INDUSTRIE;0
20;2008;0;;E;;0;0;;0;0;;;;COMMERCE;
20;2009;0;;E;;0;0;;0;0;0;;;COMMERCE;0
20;2010;0;;E;;0;0;;0;0;2;;;COMMERCE;2
20;2011;0;;E;;0;0;;0;0;;;;COMMERCE;
20;2012;0;;E;;0;0;;0;0;2;;;COMMERCE;2
20;2013;0;74400;DC;9;0;0;2;0;0;;;;COMMERCE;
20;2014;0;;E;;0;0;;0;0;;;;COMMERCE;
20;2015;0;;E;;0;0;;0;0;;;;COMMERCE;
21;2004;0;51190;SC;7784;0;0;0;0;0;0;;;COMMERCE;0
21;2005;0;51190;SC;3996;0;0;0;0;0;0;;;COMMERCE;0
21;2006;0;51190;SD;1332;0;0;0;0;0;0;;;COMMERCE;0
21;2007;0;;E;;0;0;;0;0;0;;;COMMERCE;0
21;2008;0;;E;;0;0;;0;0;0;;;COMMERCE;0
21;2009;0;51190;SD;1006;0;0;0;0;0;0;;;SERVICES;0
21;2011;0;51190;SC;485;0;0;0;0;0;0;;;SERVICES;0
21;2012;0;51190;SD;2083;0;0;0;0;0;0;;;COMMERCE;0
21;2013;0;;E;;0;0;;0;0;0;;;INDUSTRIE;0
21;2016;0;51190;DC;145875;0;0;2;0;0;0;;;INDUSTRIE;0
22;2004;0;0;SC;210;0;0;0;0;0;0;;;INDUSTRIE;0
22;2005;0;0;SC;15222;0;0;0;0;0;0;;;INDUSTRIE;0
22;2006;0;0;SC;12100;0;0;0;0;0;0;;;INDUSTRIE;0
22;2007;0;0;SC;8664;0;0;0;0;0;0;;;INDUSTRIE;0
22;2008;0;0;SC;4885;0;0;0;0;0;0;;;SERVICES;0
22;2011;0;0;SC;7830;0;0;0;0;0;0;;;SERVICES;0
22;2014;0;0;DCTX;9617;1;1;4;0;0;4;;;SERVICES;4
22;2015;0;0;DCTX;5777;1;1;4;0;0;4;;;SERVICES;4
22;2016;0;0;DCTX;1533;1;1;4;0;0;4;;;SERVICES;4
23;2004;0;28120;SC;23776;0;0;0;0;0;0;;;SERVICES;0
23;2005;0;28120;SC;7445;0;0;0;0;0;0;;;SERVICES;0
23;2006;1;28120;SC;37081;0;0;0;0;0;0;;;SERVICES;0
23;2007;1;28120;SC;63284;0;0;0;0;0;0;;;INDUSTRIE;0
23;2008;1;28120;SC;102328;0;0;0;0;0;0;;;INDUSTRIE;0
23;2010;1;28120;SC;115284;0;0;0;0;0;0;;;INDUSTRIE;0
23;2011;1;28120;SC;192227;0;0;0;0;0;0;;17;INDUSTRIE;0
23;2012;0;28120;SC;206477;0;0;0;0;0;0;;2;INDUSTRIE;0
23;2013;0;28120;SC;17121;0;0;0;0;0;0;;;INDUSTRIE;0
23;2014;0;28120;SC;9024;0;0;0;0;0;0;;;INDUSTRIE;0
23;2015;0;28120;SC;10669;0;0;0;0;0;0;;;INDUSTRIE;0
23;2016;0;28120;SD;8596;0;0;0;0;0;0;;;INDUSTRIE;0
24;2004;0;;E;;0;0;;0;0;;;;INDUSTRIE;
24;2005;0;;E;;0;0;;0;0;;;;INDUSTRIE;
24;2006;0;;E;;0;0;;0;0;;;;COMMERCE;
24;2007;0;;E;;0;0;;0;0;;;;COMMERCE;
24;2008;0;;E;;0;0;;0;0;;;;COMMERCE;
24;2009;0;;E;;0;0;;0;0;;;;COMMERCE;
24;2010;0;;E;;0;0;;0;0;;;;COMMERCE;
24;2011;0;;E;;0;0;;0;0;;;;COMMERCE;
24;2013;0;;E;;0;0;;0;0;;;;INDUSTRIE;
24;2014;0;;E;;0;0;;0;0;;;;INDUSTRIE;
24;2015;0;;E;;0;0;;0;0;;;;INDUSTRIE;
24;2016;0;;E;;0;0;;0;0;;;;INDUSTRIE;
25;2005;0;63300;SC;51532;0;0;0;0;0;0;;;INDUSTRIE;0
25;2008;0;63300;SC;49980;0;0;0;0;0;2;;;INDUSTRIE;2
25;2009;0;63300;DC;48766;0;1;2;0;0;4;;;INDUSTRIE;4
25;2010;0;63300;DCTX;51401;1;1;4;0;0;4;;;INDUSTRIE;4
25;2011;0;63300;DCTX;51401;1;1;4;0;0;4;;;INDUSTRIE;4
25;2012;0;63300;DCTX;60401;1;1;4;0;0;4;;;INDUSTRIE;4
25;2014;0;;E;;0;0;;0;0;;;;INDUSTRIE;
25;2015;0;;E;;0;0;;0;0;;;;INDUSTRIE;
25;2016;0;;E;;0;0;;0;0;;;;INDUSTRIE;
26;2004;0;;E;;0;0;;0;0;0;;;INDUSTRIE;0
26;2005;0;93050;SC;6048;0;0;0;0;0;0;;;COMMERCE;0
26;2006;0;93050;SC;2592;0;0;0;0;0;0;;;COMMERCE;0
26;2007;0;93050;SC;5100;0;0;0;0;0;0;;;INDUSTRIE;0
26;2008;0;93050;SD;1500;0;0;0;0;0;0;;;INDUSTRIE;0
26;2009;0;93050;SC;6000;0;0;0;0;0;0;;;INDUSTRIE;0
26;2010;0;93050;SD;2400;0;0;0;0;0;;;;INDUSTRIE;
26;2011;0;;E;;0;0;;0;0;0;;;COMMERCE;0
26;2012;0;93050;SC;3868;0;0;0;0;0;0;;;COMMERCE;0
26;2014;0;;E;;0;0;;0;0;0;;;COMMERCE;0
26;2015;0;93050;SC;5000;0;0;0;0;0;0;;;COMMERCE;0
26;2016;0;93050;SD;1746;0;0;0;0;0;0;;;COMMERCE;0
27;2004;0;;E;;0;0;;0;0;;;;COMMERCE;
27;2006;0;;E;;0;0;;0;0;0;;;SERVICES;0
27;2008;0;;E;;0;0;;0;0;;;;SERVICES;
27;2009;0;;E;;0;0;;0;0;;;;SERVICES;
27;2010;0;;E;;0;0;;0;0;;;;SERVICES;
27;2011;0;;E;;0;0;;0;0;;;;SERVICES;
27;2012;0;;E;;0;0;;0;0;;;;SERVICES;
27;2013;0;;E;;0;0;;0;0;;;;SERVICES;
27;2014;0;;E;;0;0;;0;0;;;;SERVICES;
27;2015;0;;E;;0;0;;0;0;;;;SERVICES;
27;2016;0;;E;;0;0;;0;0;;;;SERVICES;
28;2004;0;;E;;0;0;;0;0;;;;SERVICES;
28;2006;0;;E;;0;0;;0;0;0;;;COMMERCE;0
28;2007;0;91330;SD;705;0;0;0;0;0;0;;;COMMERCE;0
28;2008;0;;E;;0;0;;0;0;0;;;COMMERCE;0
28;2010;0;;E;;0;0;;0;0;;;;COMMERCE;
28;2011;0;;E;;0;0;;0;0;;;;COMMERCE;
28;2012;0;;E;;0;0;;0;0;;;;COMMERCE;
28;2013;0;;E;;0;0;;0;0;;;;COMMERCE;
28;2014;0;;E;;0;0;;0;0;0;;;COMMERCE;0
28;2016;0;91330;SD;16289;0;0;0;0;0;0;;;COMMERCE;0
29;2005;0;85120;SD;1219;0;0;0;0;0;0;;;COMMERCE;0
29;2006;0;;E;;0;0;;0;0;0;;;COMMERCE;0
29;2007;0;85120;SD;11508;0;0;0;0;0;0;;;COMMERCE;0
29;2008;0;;E;;0;0;;0;0;0;;;COMMERCE;0
29;2010;0;;E;;0;0;;0;0;4;;;COMMERCE;4
29;2011;0;85120;DC;3680;0;0;4;0;0;4;;;COMMERCE;4
29;2014;0;;E;;0;0;;0;0;;;;COMMERCE;
29;2015;0;;E;;0;0;;0;0;;;;COMMERCE;
30;2004;0;;E;;0;0;;0;0;0;;;COMMERCE;0
30;2005;0;;E;;0;0;;0;0;0;;;COMMERCE;0
30;2007;0;52120;SD;1620;0;0;0;0;0;0;;;COMMERCE;0
30;2008;0;52120;SC;2020;0;0;0;0;0;0;;;COMMERCE;0
30;2009;0;52120;SC;2482;0;0;0;0;0;0;;;COMMERCE;0
30;2012;0;52120;DCTX;794;1;1;4;0;0;4;;;COMMERCE;4
30;2013;0;52120;DCTX;794;1;1;4;0;0;4;;;COMMERCE;4
30;2014;0;52120;DCTX;794;1;1;4;0;0;4;;;COMMERCE;4
30;2015;0;52120;DCTX;794;1;1;4;0;0;4;;;COMMERCE;4
31;2004;0;;E;;0;0;;0;0;;;;COMMERCE;
31;2005;0;;E;;0;0;;0;0;0;;;COMMERCE;0
31;2006;0;;E;;0;0;;0;0;0;;;INDUSTRIE;0
31;2007;0;;E;;0;0;;0;0;0;;;INDUSTRIE;0
31;2008;0;45211;SD;304;0;0;0;0;0;;;;INDUSTRIE;
31;2009;0;;E;;0;0;;0;0;;;;INDUSTRIE;
31;2011;0;;E;;0;0;;0;0;;;;INDUSTRIE;
31;2012;0;;E;;0;0;;0;0;;;;INDUSTRIE;
31;2013;0;;E;;0;0;;0;0;0;;;INDUSTRIE;0
31;2014;0;45211;SD;232;0;0;0;0;0;0;;;INDUSTRIE;0
31;2015;0;45211;SD;114;0;0;0;0;0;;;;INDUSTRIE;
31;2016;0;;E;;0;0;;0;0;;;;INDUSTRIE;
32;2004;0;63400;SC;2;0;0;0;0;0;0;;;INDUSTRIE;0
32;2006;0;63400;SC;3325;0;0;0;0;0;0;;;INDUSTRIE;0
32;2007;0;63400;SC;12213;0;0;0;0;0;0;;;INDUSTRIE;0
32;2008;0;63400;SD;15462;0;0;0;0;0;0;;;INDUSTRIE;0
32;2009;0;63400;SD;2933;0;0;0;0;0;;;;INDUSTRIE;
32;2010;0;;E;;0;0;;0;0;;;;INDUSTRIE;
32;2011;0;;E;;0;0;;0;0;;;;INDUSTRIE;
32;2012;0;;E;;0;0;;0;0;;;;INDUSTRIE;
32;2013;0;;E;;0;0;;0;0;;;;INDUSTRIE;
32;2014;0;;E;;0;0;;0;0;;;;INDUSTRIE;
32;2015;0;;E;;0;0;;0;0;;;;SERVICES;
32;2016;0;;E;;0;0;;0;0;;;;SERVICES;
33;2004;0;;E;;0;0;;0;0;;;;COMMERCE;
33;2005;0;;E;;0;0;;0;0;;;;COMMERCE;
33;2007;0;;E;;0;0;;0;0;;;;COMMERCE;
33;2008;0;;E;;0;0;;0;0;;;;COMMERCE;
33;2009;0;;E;;0;0;;0;0;;;;COMMERCE;
33;2010;0;;E;;0;0;;0;0;;;;COMMERCE;
33;2011;0;;E;;0;0;;0;0;;;;COMMERCE;
33;2012;0;;E;;0;0;;0;0;;;;COMMERCE;
33;2013;0;;E;;0;0;;0;0;;;;COMMERCE;
33;2014;0;;E;;0;0;;0;0;;;;COMMERCE;
33;2015;0;;E;;0;0;;0;0;;;;COMMERCE;
33;2016;0;;E;;0;0;;0;0;;;;TOURISME;
34;2004;1;0;SC;23894;0;0;1;0;0;1;37;68;TOURISME;1
34;2005;0;0;SC;43159;0;0;0;0;0;1;;43;TOURISME;1
34;2006;0;0;SC;46759;0;0;0;0;0;1;;73;TOURISME;1
34;2008;0;0;SC;14755;0;0;1;0;0;1;;31;TOURISME;1
34;2010;0;0;SC;89694;0;0;0;0;0;1;;123;TOURISME;1
34;2011;0;0;SC;57655;0;0;1;0;0;1;62;122;TOURISME;1
34;2012;0;0;SC;12214;0;0;1;0;0;0;62;;TOURISME;0
34;2013;0;0;SC;2125;0;0;0;0;0;0;;;TOURISME;0
34;2014;0;0;SD;3130;0;0;0;0;0;0;;;TOURISME;0
34;2015;0;0;SC;2092;0;0;0;0;0;0;;;TOURISME;0
34;2016;0;0;SD;1575;0;0;0;0;0;;;;TOURISME;
35;2004;0;;E;;0;0;;0;0;;;;TOURISME;
35;2006;0;51470;SX;30;0;0;0;0;0;;;;TOURISME;
35;2007;0;;E;;0;0;;0;0;;;;TOURISME;
35;2008;0;;E;;0;0;;0;0;;;;SERVICES;
35;2009;0;;E;;0;0;;0;0;4;;;SERVICES;4
35;2011;0;51470;DC;89;0;0;4;0;0;4;;;SERVICES;4
35;2013;0;51470;DC;348;0;0;4;0;0;4;;;SERVICES;4
35;2014;0;51470;DC;498;0;1;4;0;0;4;;;SERVICES;4
35;2015;0;51470;DCTX;689;1;1;4;0;0;4;;;SERVICES;4
35;2016;0;;E;;0;0;;0;0;;;;COMMERCE;
36;2004;0;91330;SX;250;0;0;0;0;0;;;;COMMERCE;
36;2005;0;;E;;0;0;;0;0;;;;INDUSTRIE;
36;2006;0;;E;;0;0;;0;0;;;;INDUSTRIE;
36;2007;0;;E;;0;0;;0;0;;;;COMMERCE;
36;2008;0;;E;;0;0;;0;0;;;;COMMERCE;
36;2009;0;;E;;0;0;;0;0;;;;COMMERCE;
36;2010;0;;E;;0;0;;0;0;;;;INDUSTRIE;
36;2011;0;;E;;0;0;;0;0;0;;;INDUSTRIE;0
36;2012;0;91330;SC;39;0;0;0;0;0;0;;;SERVICES;0
36;2014;0;;E;;0;0;;0;0;;;;SERVICES;
36;2015;0;;E;;0;0;;0;0;;;;SERVICES;
37;2004;0;;E;;0;0;;0;0;;;;SERVICES;
37;2005;0;;E;;0;0;;0;0;;;;COMMERCE;
37;2006;0;;E;;0;0;;0;0;;;;SERVICES;
37;2007;0;;E;;0;0;;0;0;;;;SERVICES;
37;2008;0;;E;;0;0;;0;0;;;;SERVICES;
37;2009;0;;E;;0;0;;0;0;;;;SERVICES;
37;2010;0;;E;;0;0;;0;0;;;;SERVICES;
37;2011;0;;E;;0;0;;0;0;0;;;SERVICES;0
37;2012;0;;E;;0;0;;0;0;;;;SERVICES;
37;2013;0;;E;;0;0;;0;0;;;;SERVICES;
37;2014;0;;E;;0;0;;0;0;0;;;SERVICES;0
37;2015;0;51190;SD;468;0;0;0;0;0;;;;SERVICES;
37;2016;0;;E;;0;0;;0;0;;;;SERVICES;
38;2005;0;0;SD;4960;0;0;0;0;0;0;;;SERVICES;0
38;2006;0;;E;;0;0;;0;0;;;;SERVICES;
38;2007;0;;E;;0;0;;0;0;;;;SERVICES;
38;2008;0;;E;;0;0;;0;0;;;;SERVICES;
38;2009;0;;E;;0;0;;0;0;;;;COMMERCE;
38;2010;0;;E;;0;0;;0;0;;;;COMMERCE;
38;2011;0;;E;;0;0;;0;0;;;;COMMERCE;
38;2012;0;;E;;0;0;;0;0;;;;COMMERCE;
38;2013;0;;E;;0;0;;0;0;;;;COMMERCE;
38;2014;0;;E;;0;0;;0;0;;;;COMMERCE;
38;2015;0;;E;;0;0;;0;0;;;;COMMERCE;
38;2016;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2004;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2005;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2007;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2008;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2009;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2010;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2011;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2012;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2013;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2014;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2015;0;;E;;0;0;;0;0;;;;COMMERCE;
39;2016;0;;E;;0;0;;0;0;;;;COMMERCE;
40;2004;0;;E;;0;0;;0;0;;;;COMMERCE;
40;2005;0;;E;;0;0;;0;0;;;;COMMERCE;
40;2007;0;;E;;0;0;;0;0;;;;SERVICES;
40;2008;0;;E;;0;0;;0;0;;;;SERVICES;
40;2009;0;;E;;0;0;;0;0;;;;INDUSTRIE;
40;2010;0;;E;;0;0;;0;0;;;;INDUSTRIE;
40;2011;0;;E;;0;0;;0;0;;;;INDUSTRIE;
40;2012;0;;E;;0;0;;0;0;;;;INDUSTRIE;
40;2013;0;;E;;0;0;;0;0;;;;INDUSTRIE;
40;2014;0;;E;;0;0;;0;0;;;;INDUSTRIE;
40;2015;0;;E;;0;0;;0;0;;;;INDUSTRIE;
40;2016;0;;E;;0;0;;0;0;;;;INDUSTRIE;
41;2004;0;;E;;0;0;;0;0;;;;INDUSTRIE;
41;2006;0;;E;;0;0;;0;0;0;;;INDUSTRIE;0
41;2007;0;36142;SC;23275;0;0;0;0;0;0;;;INDUSTRIE;0
41;2008;0;36142;SC;15295;0;0;0;0;0;0;;;INDUSTRIE;0
41;2010;0;;E;;0;0;;0;0;;;;INDUSTRIE;
41;2011;0;;E;;0;0;;0;0;0;;;COMMERCE;0
41;2012;0;;E;;0;0;;0;0;;;;COMMERCE;
41;2013;0;;E;;0;0;;0;0;;;;COMMERCE;
41;2014;0;;E;;0;0;;0;0;;;;COMMERCE;
41;2015;0;;E;;0;0;;0;0;;;;COMMERCE;
41;2016;0;;E;;0;0;;0;0;;;;COMMERCE;
42;2004;0;;E;;0;0;;0;0;;;;COMMERCE;
42;2005;0;;E;;0;0;;0;0;;;;COMMERCE;
42;2006;0;;E;;0;0;;0;0;;;;COMMERCE;
42;2007;0;;E;;0;0;;0;0;;;;COMMERCE;
42;2009;0;;E;;0;0;;0;0;;;;COMMERCE;
42;2010;0;;E;;0;0;;0;0;;;;COMMERCE;
42;2011;0;;E;;0;0;;0;0;;;;COMMERCE;
42;2012;0;;E;;0;0;;0;0;;;;COMMERCE;
42;2013;0;;E;;0;0;;0;0;0;;;COMMERCE;0
42;2015;0;;E;;0;0;;0;0;3;;;COMMERCE;3
42;2016;0;0;DC;49;0;0;2;0;0;;;;COMMERCE;
43;2004;0;;E;;0;0;;0;0;;;;COMMERCE;
43;2005;0;;E;;0;0;;0;0;;;;COMMERCE;
43;2006;0;;E;;0;0;;0;0;;;;COMMERCE;
43;2007;0;;E;;0;0;;0;0;;;;COMMERCE;
43;2008;0;;E;;0;0;;0;0;;;;COMMERCE;
43;2009;0;;E;;0;0;;0;0;;;;COMMERCE;
43;2011;0;;E;;0;0;;0;0;;;;COMMERCE;
43;2012;0;;E;;0;0;;0;0;2;;;COMMERCE;2
43;2013;0;91330;DC;45;0;0;2;0;0;4;;;COMMERCE;4
43;2015;0;91330;DC;406;0;1;4;0;0;4;;;COMMERCE;4
44;2004;0;67130;SC;353;0;0;0;0;0;0;;;COMMERCE;0
44;2005;0;67130;SD;261;0;0;0;0;0;0;;;COMMERCE;0
44;2006;0;;E;;0;0;;0;0;0;;;COMMERCE;0
44;2007;0;67130;SC;411;0;0;0;0;0;0;;;COMMERCE;0
44;2008;0;67130;SD;400;0;0;0;0;0;0;;;COMMERCE;0
44;2009;0;67130;SC;722;0;0;0;0;0;0;;;COMMERCE;0
44;2010;0;67130;SC;3000;0;0;0;0;0;0;;5;COMMERCE;0
44;2011;0;67130;SC;6000;0;0;0;0;0;0;;;COMMERCE;0
44;2012;0;67130;SC;9476;0;0;0;0;0;0;;;INDUSTRIE;0
44;2013;0;67130;SC;10725;0;0;0;0;0;0;;;INDUSTRIE;0
44;2015;0;67130;SC;27893;0;0;0;0;0;0;;;COMMERCE;0
44;2016;0;67130;SD;31028;0;0;0;0;0;0;;2;COMMERCE;0
45;2004;0;;E;;0;0;;0;0;2;;;COMMERCE;2
45;2005;0;;E;;0;0;;0;0;;;;COMMERCE;
45;2006;0;;E;;0;0;;0;0;;;;COMMERCE;
45;2007;0;;E;;0;0;;0;0;;;;COMMERCE;
45;2008;0;;E;;0;0;;0;0;;;;COMMERCE;
45;2009;0;;E;;0;0;;0;0;;;;COMMERCE;
45;2010;0;;E;;0;0;;0;0;;;;COMMERCE;
45;2011;0;;E;;0;0;;0;0;;;;COMMERCE;
45;2012;0;;E;;0;0;;0;0;;;;COMMERCE;
45;2014;0;;E;;0;0;;0;0;;;;COMMERCE;
45;2015;0;;E;;0;0;;0;0;;;;COMMERCE;
45;2016;0;;E;;0;0;;0;0;;;;COMMERCE;
46;2004;0;;E;;0;0;;0;0;;;;COMMERCE;
46;2005;0;;E;;0;0;;0;0;;;;COMMERCE;
46;2006;0;;E;;0;0;;0;0;;;;COMMERCE;
46;2007;0;;E;;0;0;;0;0;;;;COMMERCE;
46;2008;0;;E;;0;0;;0;0;;;;COMMERCE;
46;2009;0;;E;;0;0;;0;0;;;;COMMERCE;
46;2010;0;;E;;0;0;;0;0;0;;;COMMERCE;0
46;2011;0;;E;;0;0;;0;0;;;;COMMERCE;
46;2014;0;51190;SD;1800;0;0;0;0;0;0;;;COMMERCE;0
